Word(s),Spoken Form (If Different)
nmap,N map
under-documented,under documented
nmap
admin
Cisco
Citrix
VPN
DNS
Minecraft
genes,jeans
STAMS,stams
FILL IN,fill in
CITE,site
p-value,pe value
Supplemental Table,star table
Supplemental Figure,star figure
